Time (s)	Acceleration x (m/s^2)	Acceleration y (m/s^2)	Acceleration z (m/s^2)	Absolute acceleration (m/s^2)
0.012843125	-2.831062775	5.410049744	7.25331665	9.481252928
0.022834125	-2.429298248	5.243895264	7.202123108	9.234202985
0.032825125	-2.24652832	4.937632141	7.09779007	8.933404979
0.042816125	-2.468516693	4.685706024	7.172933807	8.916299401
0.052806125	-2.77313324	4.461322632	7.431745605	9.100797236
0.062797125	-2.779569855	4.210594025	7.987689514	9.447660789
0.072788125	-2.634371796	4.013154602	8.582402802	9.833766443
0.082779125	-2.435884552	3.93501709	9.063652039	10.17682079
0.092770125	-2.264790344	3.929777985	9.286089478	10.33459666
0.102761125	-2.219584351	3.947291565	9.169781342	10.22705017
0.112751125	-2.237996063	3.99698822	8.863967285	9.977697993
0.122742125	-2.415676575	4.080514526	8.578061829	9.801491562
0.132733125	-2.552941132	4.188140717	8.361911316	9.694307192
0.142724125	-2.319576416	4.231849823	8.173902283	9.492189747
0.152715125	-1.880689087	4.302652588	8.06073761	9.32873526
0.162706125	-1.794169006	4.303999786	8.16956131	9.40665661
0.172697125	-1.880090332	4.251908112	8.517737274	9.703881209
0.182687125	-1.816772003	4.214036865	8.946894836	10.05513274
0.192678125	-1.667083282	4.088448029	9.246871033	10.24691162
0.202669125	-1.611698456	3.961062927	9.314230957	10.24902384
0.212660125	-1.67561554	3.922443237	9.178912354	10.12154536
0.222651125	-1.826801147	3.949387207	8.909921722	9.915723213
0.232642125	-1.995350647	3.990701294	8.629704437	9.714881353
0.242632125	-1.988614655	4.00986145	8.486152954	9.594184127
0.252623125	-1.759291534	4.03680542	8.795709229	9.836432561
0.262614125	-1.406774597	3.947291565	9.22142395	10.12890839
0.272605125	-1.215472412	3.89175705	9.468110962	10.30865031
0.282596125	-1.168619843	3.86601059	9.499695282	10.32259273
0.292587125	-1.259480896	3.816164246	9.422306213	10.24349823
0.302578125	-1.358125763	3.835773468	9.436975708	10.2768757
0.312568125	-1.365161133	3.883075104	9.58651474	10.43279455
0.322559125	-1.340013428	3.900588684	9.70940918	10.5490689
0.332550125	-1.268761597	3.908222809	9.733359375	10.56514298
0.342541125	-1.140178986	3.909869385	9.62049408	10.44705667
0.352532125	-1.053509216	3.915407867	9.400301971	10.23747906
0.362523125	-1.063388672	3.921395416	9.130113831	9.993353593
0.372513125	-1.120270386	3.93381958	8.970845032	9.859310463
0.382504125	-1.080303497	3.983216858	8.989705811	9.891808871
0.392495125	-0.908909912	4.029171295	9.167835388	10.05532417
0.402486125	-0.754580841	3.963008881	9.268426208	10.10834091
0.412477125	-0.665516052	3.948339386	9.201665039	10.0350852
0.422468125	-0.638123016	3.934118958	8.9991362	9.842202259
